tagBOJ,tagSA,nameKo,nameEn,aliases
1,2_sat,2-sat,2-sat,"[{'alias': '투셋'}, {'alias': 'twosat'}, {'alias': '2sat'}]"
4,articulation,단절점과 단절선,articulation points and bridges,"[{'alias': '단절점'}, {'alias': '단절선'}, {'alias': '브리지'}, {'alias': '브릿지'}, {'alias': 'bridge'}]"
6,combinatorics,조합론,combinatorics,"[{'alias': 'combination'}, {'alias': 'permutation'}, {'alias': 'probability'}, {'alias': '확률'}, {'alias': '순열'}]"
7,graphs,그래프 이론,graph theory,"[{'alias': '그래프이론'}, {'alias': '그래프'}]"
8,hashing,해싱,hashing,[]
9,primality_test,소수 판정,primality test,"[{'alias': '소수'}, {'alias': '소수판별'}, {'alias': '소수판정'}, {'alias': 'prime'}]"
11,graph_traversal,그래프 탐색,graph traversal,"[{'alias': 'bfs'}, {'alias': 'dfs'}]"
12,binary_search,이분 탐색,binary search,"[{'alias': '이분탐색'}, {'alias': '이진탐색'}]"
13,bipartite_matching,이분 매칭,bipartite matching,[]
14,bitmask,비트마스킹,bitmask,"[{'alias': '비트필드'}, {'alias': '비트마스크'}]"
16,burnside,번사이드 보조정리,burnside's lemma,[]
22,dijkstra,데이크스트라,dijkstra's,"[{'alias': '다익'}, {'alias': '다익스트라'}, {'alias': '데이크스트라'}]"
25,dp,다이나믹 프로그래밍,dynamic programming,"[{'alias': '동적계획법'}, {'alias': '동적 계획법'}, {'alias': '다이나믹프로그래밍'}]"
28,fft,고속 푸리에 변환,fast fourier transform,"[{'alias': '푸리에변환'}, {'alias': '컨볼루션'}, {'alias': 'convolution'}]"
29,flt,페르마의 소정리,fermat's little theorem,[]
31,floyd_warshall,플로이드–워셜,floyd–warshall,"[{'alias': '플로이드'}, {'alias': '플로이드와셜'}, {'alias': '플로이드와샬'}]"
32,gaussian_elimination,가우스 소거법,gaussian elimination,[]
33,greedy,그리디 알고리즘,greedy,[{'alias': '탐욕법'}]
39,exponentiation_by_squaring,분할 정복을 이용한 거듭제곱,exponentiation by squaring,"[{'alias': '거듭제곱'}, {'alias': '제곱'}, {'alias': 'power'}, {'alias': 'square'}]"
41,lca,최소 공통 조상,lowest common ancestor,[]
45,flow,최대 유량,maximum flow,"[{'alias': 'dinic'}, {'alias': 'dinitz'}, {'alias': 'ford'}, {'alias': 'fulkerson'}, {'alias': 'fordfulkerson'}, {'alias': '디닉'}, {'alias': '디니츠'}, {'alias': '포드풀커슨'}, {'alias': '플로우'}]"
46,mitm,중간에서 만나기,meet in the middle,[]
49,mst,최소 스패닝 트리,minimum spanning tree,[]
65,segtree,세그먼트 트리,segment tree,"[{'alias': '구간트리'}, {'alias': '세그트리'}, {'alias': 'fenwick'}, {'alias': '펜윅'}]"
69,splay_tree,스플레이 트리,splay tree,[]
70,sprague_grundy,스프라그–그런디 정리,sprague–grundy theorem,"[{'alias': '님버'}, {'alias': 'nimber'}]"
71,stack,스택,stack,[]
76,scc,강한 연결 요소,strongly connected component,[]
78,topological_sorting,위상 정렬,topological sorting,[]
80,two_pointer,두 포인터,two-pointer,"[{'alias': '투포인터'}, {'alias': '인치웜'}, {'alias': 'inchworm'}, {'alias': 'twopointer'}]"
81,disjoint_set,분리 집합,disjoint set,"[{'alias': 'union'}, {'alias': 'find'}, {'alias': '유니온'}, {'alias': '파인드'}, {'alias': 'dsu'}]"
84,sparse_table,희소 배열,sparse table,"[{'alias': '스파스어레이'}, {'alias': 'sparse table'}]"
87,dp_bitfield,비트필드를 이용한 다이나믹 프로그래밍,dynamic programming using bitfield,"[{'alias': '동적계획법'}, {'alias': '비트마스크'}, {'alias': '비트dp'}]"
92,dp_tree,트리에서의 다이나믹 프로그래밍,dynamic programming on trees,[{'alias': '트리dp'}]
95,number_theory,정수론,number theory,[]
96,parsing,파싱,parsing,[]
